&IN
 ETA=  2.6000000000000001     ,
 XI0=  84500.000000000000     ,
 BETA=  6.5999999999999996     ,
 P=-0.56999999999999995     ,
 K0=  5.5999999999999996     ,
 KF=  3.0000000000000000     ,
 L0=  10.000000000000000     ,
 LF=  35.000000000000000     ,
 LM=  15.000000000000000     ,
 LW=  3.0000000000000000     ,
 T0=  1700000.0000000000     ,
 TF=  27000000.000000000     ,
 VS=  6.5900000000000004E-003,
 NMAX=10000      ,
 /
   2.6000000000000001     
   84500.000000000000     
   6.5999999999999996     
 -0.56999999999999995     
   5.5999999999999996     
   3.0000000000000000     
   10.000000000000000     
   35.000000000000000     
   15.000000000000000     
   3.0000000000000000     
   1700000.0000000000     
   27000000.000000000     
   6.5900000000000004E-003
       10000
   2.5000000000000001E-003

L                        T                        Ta                       v                        
    0.10000000000000E+02     0.17000000000000E+07     0.17000000000000E+07     0.00000000000000E+00     0.56000000000000E+01
    0.10002500000000E+02     0.17030678119021E+07     0.17003168720282E+07     0.14136776391535E+02     0.55759751260144E+01
    0.10005000000000E+02     0.17061326091197E+07     0.17006355455760E+07     0.14198260624574E+02     0.55758988035121E+01
    0.10007500000000E+02     0.17091943942462E+07     0.17009542152117E+07     0.14259986032841E+02     0.55758222689207E+01
    0.10010000000000E+02     0.17122531698728E+07     0.17012746864268E+07     0.14321953432144E+02     0.55757455217575E+01
    0.10012500000000E+02     0.17153089385883E+07     0.17015951498216E+07     0.14384163640424E+02     0.55756685615389E+01
    0.10015000000000E+02     0.17183617029787E+07     0.17019174148664E+07     0.14446617477748E+02     0.55755913877808E+01
    0.10017500000000E+02     0.17214114656281E+07     0.17022396681866E+07     0.14509315766318E+02     0.55755139999979E+01
    0.10020000000000E+02     0.17244582291177E+07     0.17025637232380E+07     0.14572259330467E+02     0.55754363977047E+01
    0.10022500000000E+02     0.17275019960265E+07     0.17028877626644E+07     0.14635448996670E+02     0.55753585804146E+01
    0.10025000000000E+02     0.17305427689312E+07     0.17032136039138E+07     0.14698885593535E+02     0.55752805476402E+01
    0.10027500000000E+02     0.17335805504058E+07     0.17035394256416E+07     0.14762569951819E+02     0.55752022988937E+01
    0.10030000000000E+02     0.17366153430221E+07     0.17038670492949E+07     0.14826502904416E+02     0.55751238336861E+01
    0.10032500000000E+02     0.17396471493495E+07     0.17041946495339E+07     0.14890685286372E+02     0.55750451515280E+01
    0.10035000000000E+02     0.17426759719548E+07     0.17045240518114E+07     0.14955117934879E+02     0.55749662519292E+01
    0.10037500000000E+02     0.17457018134028E+07     0.17048534267855E+07     0.15019801689280E+02     0.55748871343986E+01
    0.10040000000000E+02     0.17487246762555E+07     0.17051846039217E+07     0.15084737391073E+02     0.55748077984444E+01
    0.10042500000000E+02     0.17517445630728E+07     0.17055157498694E+07     0.15149925883911E+02     0.55747282435741E+01
    0.10045000000000E+02     0.17547614764120E+07     0.17058486981133E+07     0.15215368013606E+02     0.55746484692945E+01
    0.10047500000000E+02     0.17577754188283E+07     0.17061816112871E+07     0.15281064628128E+02     0.55745684751115E+01
    0.10050000000000E+02     0.17607863928743E+07     0.17065163269016E+07     0.15347016577612E+02     0.55744882605304E+01
    0.10052500000000E+02     0.17637944011004E+07     0.17068510035682E+07     0.15413224714355E+02     0.55744078250556E+01
    0.10055000000000E+02     0.17667994460544E+07     0.17071874828307E+07     0.15479689892825E+02     0.55743271681908E+01
    0.10057500000000E+02     0.17698015302821E+07     0.17075239192710E+07     0.15546412969655E+02     0.55742462894391E+01
    0.10060000000000E+02     0.17728006563267E+07     0.17078621584727E+07     0.15613394803653E+02     0.55741651883027E+01
    0.10062500000000E+02     0.17757968267291E+07     0.17082003509817E+07     0.15680636255798E+02     0.55740838642831E+01
    0.10065000000000E+02     0.17787900440279E+07     0.17085403464280E+07     0.15748138189247E+02     0.55740023168809E+01
    0.10067500000000E+02     0.17817803107593E+07     0.17088802913146E+07     0.15815901469331E+02     0.55739205455962E+01
    0.10070000000000E+02     0.17847676294574E+07     0.17092220393248E+07     0.15883926963565E+02     0.55738385499282E+01
    0.10072500000000E+02     0.17877520026536E+07     0.17095637329119E+07     0.15952215541644E+02     0.55737563293754E+01
    0.10075000000000E+02     0.17907334328773E+07     0.17099072298192E+07     0.16020768075447E+02     0.55736738834355E+01
    0.10077500000000E+02     0.17937119226555E+07     0.17102506684434E+07     0.16089585439042E+02     0.55735912116054E+01
