&IN
 ETA= 0.83999999999999997     ,
 XI0= 0.32300000000000001     ,
 BETA=  4.8399999999999999     ,
 P=-0.29999999999999999     ,
 K0=  3.8399999999999999     ,
 KF=  1.0000000000000000     ,
 L0=  8.0000000000000000     ,
 LF=  30.000000000000000     ,
 LM=  20.000000000000000     ,
 LW=  5.0000000000000000     ,
 T0=  125.59999999999999     ,
 TF=  681.00000000000000     ,
 VS= 0.92000000000000004     ,
 NMAX=10000      ,
 /
  0.83999999999999997     
  0.32300000000000001     
   4.8399999999999999     
 -0.29999999999999999     
   3.8399999999999999     
   1.0000000000000000     
   8.0000000000000000     
   30.000000000000000     
   20.000000000000000     
   5.0000000000000000     
   125.59999999999999     
   681.00000000000000     
  0.92000000000000004     
       10000
   2.2000000000000001E-003

L                        T                        Ta                       v                        
    0.80000000000000E+01     0.12560000000000E+03     0.12560000000000E+03     0.00000000000000E+00     0.38400000000000E+01
    0.80022000000000E+01     0.12598254462942E+03     0.12551756435133E+03     0.68810072415283E+00     0.38390200863500E+01
    0.80044000000000E+01     0.12636462355243E+03     0.12543536336853E+03     0.69029382422398E+00     0.38390178577322E+01
    0.80066000000000E+01     0.12674623736577E+03     0.12535316186065E+03     0.69249347232854E+00     0.38390156244043E+01
    0.80088000000000E+01     0.12712738666526E+03     0.12527119491103E+03     0.69469968662638E+00     0.38390133863573E+01
    0.80110000000000E+01     0.12750807204583E+03     0.12518922691207E+03     0.69691248532361E+00     0.38390111435819E+01
    0.80132000000000E+01     0.12788829410151E+03     0.12510749336511E+03     0.69913188667287E+00     0.38390088960692E+01
    0.80154000000000E+01     0.12826805342547E+03     0.12502575824540E+03     0.70135790897315E+00     0.38390066438099E+01
    0.80176000000000E+01     0.12864735060996E+03     0.12494425747276E+03     0.70359057056925E+00     0.38390043867950E+01
    0.80198000000000E+01     0.12902618624636E+03     0.12486275460477E+03     0.70582988985321E+00     0.38390021250152E+01
    0.80220000000000E+01     0.12940456092517E+03     0.12478148598026E+03     0.70807588526388E+00     0.38389998584614E+01
    0.80242000000000E+01     0.12978247523598E+03     0.12470021473862E+03     0.71032857528695E+00     0.38389975871244E+01
    0.80264000000000E+01     0.13015992976754E+03     0.12461917763821E+03     0.71258797845447E+00     0.38389953109949E+01
    0.80286000000000E+01     0.13053692510769E+03     0.12453813739972E+03     0.71485411334551E+00     0.38389930300638E+01
    0.80308000000000E+01     0.13091346184339E+03     0.12445733120152E+03     0.71712699858725E+00     0.38389907443217E+01
    0.80330000000000E+01     0.13128954056073E+03     0.12437652134509E+03     0.71940665285284E+00     0.38389884537595E+01
    0.80352000000000E+01     0.13166516184494E+03     0.12429594542935E+03     0.72169309486375E+00     0.38389861583678E+01
    0.80374000000000E+01     0.13204032628035E+03     0.12421536533604E+03     0.72398634338841E+00     0.38389838581374E+01
    0.80396000000000E+01     0.13241503445043E+03     0.12413501908511E+03     0.72628641724261E+00     0.38389815530589E+01
    0.80418000000000E+01     0.13278928693778E+03     0.12405466813809E+03     0.72859333529086E+00     0.38389792431231E+01
    0.80440000000000E+01     0.13316308432413E+03     0.12397455093649E+03     0.73090711644391E+00     0.38389769283206E+01
    0.80462000000000E+01     0.13353642719033E+03     0.12389442852105E+03     0.73322777966148E+00     0.38389746086420E+01
    0.80484000000000E+01     0.13390931611639E+03     0.12381453975535E+03     0.73555534395088E+00     0.38389722840779E+01
    0.80506000000000E+01     0.13428175168143E+03     0.12373464525889E+03     0.73788982836829E+00     0.38389699546191E+01
    0.80528000000000E+01     0.13465373446370E+03     0.12365498431780E+03     0.74023125201649E+00     0.38389676202560E+01
    0.80550000000000E+01     0.13502526504063E+03     0.12357531712980E+03     0.74257963404815E+00     0.38389652809792E+01
    0.80572000000000E+01     0.13539634398874E+03     0.12349588340412E+03     0.74493499366344E+00     0.38389629367794E+01
    0.80594000000000E+01     0.13576697188373E+03     0.12341644291617E+03     0.74729735011123E+00     0.38389605876471E+01
    0.80616000000000E+01     0.13613714930042E+03     0.12333723579877E+03     0.74966672268979E+00     0.38389582335727E+01
    0.80638000000000E+01     0.13650687681277E+03     0.12325802140451E+03     0.75204313074526E+00     0.38389558745469E+01
    0.80660000000000E+01     0.13687615499390E+03     0.12317904029036E+03     0.75442659367244E+00     0.38389535105600E+01
    0.80682000000000E+01     0.13724498441608E+03     0.12310005138553E+03     0.75681713091611E+00     0.38389511416027E+01
    0.80704000000000E+01     0.13761336565072E+03     0.12302129567164E+03     0.75921476197013E+00     0.38389487676654E+01
    0.80726000000000E+01     0.13798129926837E+03     0.12294253165404E+03     0.76161950637576E+00     0.38389463887385E+01
    0.80748000000000E+01     0.13834878583874E+03     0.12286400073949E+03     0.76403138372602E+00     0.38389440048124E+01
    0.80770000000000E+01     0.13871582593070E+03     0.12278546100898E+03     0.76645041366160E+00     0.38389416158776E+01
    0.80792000000000E+01     0.13908242011228E+03     0.12270715429490E+03     0.76887661587339E+00     0.38389392219245E+01
    0.80814000000000E+01     0.13944856895064E+03     0.12262883825337E+03     0.77131001010220E+00     0.38389368229435E+01
