&IN
 ETA= 0.83999999999999997     ,
 XI0= 0.12110000000000000     ,
 BETA=  4.8399999999999999     ,
 P=-0.29999999999999999     ,
 K0=  3.8399999999999999     ,
 KF=  1.0000000000000000     ,
 L0=  8.0000000000000000     ,
 LF=  30.000000000000000     ,
 LM=  20.000000000000000     ,
 LW=  5.0000000000000000     ,
 T0=  125.59999999999999     ,
 TF=  257.00000000000000     ,
 VS=  2.4529999999999998     ,
 NMAX=10000      ,
 /
  0.83999999999999997     
  0.12110000000000000     
   4.8399999999999999     
 -0.29999999999999999     
   3.8399999999999999     
   1.0000000000000000     
   8.0000000000000000     
   30.000000000000000     
   20.000000000000000     
   5.0000000000000000     
   125.59999999999999     
   257.00000000000000     
   2.4529999999999998     
       10000
   2.2000000000000001E-003

L                        T                        Ta                       v                        
    0.80000000000000E+01     0.12560000000000E+03     0.12560000000000E+03     0.00000000000000E+00     0.38400000000000E+01
    0.80022000000000E+01     0.12569331822098E+03     0.12549942871946E+03     0.18346859525510E+01     0.38390200863500E+01
    0.80044000000000E+01     0.12578650536345E+03     0.12539910732220E+03     0.18405334248059E+01     0.38390178577322E+01
    0.80066000000000E+01     0.12587956160201E+03     0.12529878535191E+03     0.18463983561108E+01     0.38390156244043E+01
    0.80088000000000E+01     0.12597248711095E+03     0.12519871313645E+03     0.18522807948853E+01     0.38390133863573E+01
    0.80110000000000E+01     0.12606528206434E+03     0.12509863977587E+03     0.18581807896726E+01     0.38390111435819E+01
    0.80132000000000E+01     0.12615794663594E+03     0.12499881604314E+03     0.18640983891397E+01     0.38390088960692E+01
    0.80154000000000E+01     0.12625048099928E+03     0.12489899059413E+03     0.18700336420773E+01     0.38390066438099E+01
    0.80176000000000E+01     0.12634288532761E+03     0.12479941464747E+03     0.18759865973982E+01     0.38390043867950E+01
    0.80198000000000E+01     0.12643515979391E+03     0.12469983641427E+03     0.18819573041412E+01     0.38390021250152E+01
    0.80220000000000E+01     0.12652730457092E+03     0.12460050755938E+03     0.18879458114699E+01     0.38389998584614E+01
    0.80242000000000E+01     0.12661931983108E+03     0.12450117584862E+03     0.18939521686727E+01     0.38389975871244E+01
    0.80264000000000E+01     0.12671120574660E+03     0.12440209339359E+03     0.18999764251618E+01     0.38389953109949E+01
    0.80286000000000E+01     0.12680296248941E+03     0.12430300751427E+03     0.19060186304745E+01     0.38389930300638E+01
    0.80308000000000E+01     0.12689459023119E+03     0.12420417076955E+03     0.19120788342767E+01     0.38389907443217E+01
